#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Hourly
# Date Range: 2019-01-01 00:00 to 2019-12-31 23:00
#
# Data for the following site(s) are contained in this file:
#
#	SCAN 2125: Circleville, UT
# 
# Data items provided in this file:
#
# Element Name               Value Type  Function Type  Function Duration  Base Data  Measurement Units    Sensor Depth  Element Code  Description                               
# Air Temperature Observed   Value       None           Instantaneous      N/A        Degrees fahrenheit   N/A           TOBS          Instantaneously observed air temperature  
# Solar Radiation Average    Value       None           Hour               N/A        Watts/meter squared  N/A           SRADV         Average solar radiation                   
# Wind Speed Average         Value       None           Hour               N/A        Miles/hour           N/A           WSPDV         Average wind speed                        
# Soil Temperature Observed  Value       None           Instantaneous      N/A        Degrees fahrenheit   -2            STO           Observed soil temperature                 
# Soil Temperature Observed  Value       None           Instantaneous      N/A        Degrees fahrenheit   -4            STO           Observed soil temperature                 
# Soil Temperature Observed  Value       None           Instantaneous      N/A        Degrees fahrenheit   -8            STO           Observed soil temperature                 
# Soil Temperature Observed  Value       None           Instantaneous      N/A        Degrees fahrenheit   -20           STO           Observed soil temperature                 
# Soil Temperature Observed  Value       None           Instantaneous      N/A        Degrees fahrenheit   -40           STO           Observed soil temperature                 
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Circleville (2125) 
# Utah  SCAN Site - 6120 ft
# Reporting Frequency: Hourly; Date Range: 2019-01-01 00:00 to 2019-12-31 23:00
#
# As of: Feb 2, 2021 10:15:03 AM GMT-08:00
#
Date,Station Id,Air Temperature Observed (degF),Solar Radiation Average (watt/m2),Wind Speed Average (mph),Soil Temperature Observed -2in (degF),Soil Temperature Observed -4in (degF),Soil Temperature Observed -8in (degF),Soil Temperature Observed -20in (degF),Soil Temperature Observed -40in (degF)
2019-01-02 16:00,2125,24,107.70,10.2,19,22,20,35,43
2019-01-02 17:00,2125,20,3.49,8.6,19,22,20,35,43
2019-01-02 18:00,2125,15,0.00,8.9,17,22,21,35,42
2019-01-02 19:00,2125,14,0.01,5.3,16,21,21,35,43
2019-01-02 20:00,2125,13,0.01,3.4,15,20,21,35,43
2019-01-02 21:00,2125,9,0.03,3.0,14,19,22,34,42
2019-01-02 22:00,2125,8,0.05,2.9,13,18,21,34,43
2019-01-02 23:00,2125,6,0.04,1.1,13,17,21,34,43
2019-01-03 00:00,2125,4,0.04,1.4,12,17,21,34,42
2019-01-03 01:00,2125,2,0.06,2.6,11,16,21,34,42
2019-01-03 02:00,2125,4,0.05,2.6,10,15,20,34,43
2019-01-03 03:00,2125,4,0.08,2.6,10,14,20,34,42
2019-01-03 04:00,2125,2,0.08,2.2,9,14,20,34,42
2019-01-03 05:00,2125,2,0.08,1.2,9,14,19,34,42
2019-01-03 06:00,2125,0,0.10,2.0,8,14,19,34,42
2019-01-03 07:00,2125,2,2.43,1.2,8,14,19,34,42
2019-01-03 08:00,2125,1,93.80,1.2,7,14,18,34,42
2019-01-03 09:00,2125,9,285.50,1.1,8,14,18,34,42
2019-01-03 10:00,2125,15,416.80,1.4,11,14,18,34,42
2019-01-03 11:00,2125,19,508.90,2.1,14,14,17,34,42
2019-01-03 12:00,2125,23,542.40,1.7,17,15,17,34,42
2019-01-03 13:00,2125,28,513.80,1.5,19,17,17,34,42
2019-01-03 14:00,2125,32,425.60,1.7,21,20,18,34,42
2019-01-03 15:00,2125,35,288.40,1.4,22,22,18,33,42
2019-01-03 16:00,2125,37,117.90,1.9,22,23,19,33,42
2019-01-03 17:00,2125,34,3.74,3.1,22,24,20,33,42
2019-01-03 18:00,2125,23,0.00,3.5,21,24,20,33,42
2019-01-03 19:00,2125,20,0.00,3.1,20,24,21,33,42
2019-01-03 20:00,2125,17,0.00,2.1,18,23,21,33,42
2019-01-03 21:00,2125,19,0.00,2.5,18,22,22,33,42
2019-01-03 22:00,2125,16,0.00,3.0,17,21,22,33,42
2019-01-03 23:00,2125,15,0.00,2.9,16,20,22,33,42
2019-01-04 00:00,2125,14,0.01,2.0,15,20,22,33,42
2019-01-04 01:00,2125,14,0.01,2.9,15,19,22,33,42
2019-01-04 02:00,2125,13,0.00,2.1,14,18,21,33,42
2019-01-04 03:00,2125,12,0.01,2.6,14,18,21,33,42
2019-01-04 04:00,2125,11,0.02,3.5,13,17,21,33,42
2019-01-04 05:00,2125,11,0.01,2.8,13,17,21,33,42
2019-01-04 06:00,2125,11,0.02,1.8,12,16,20,33,42
2019-01-04 07:00,2125,12,2.81,2.8,12,15,20,33,42
2019-01-04 08:00,2125,11,100.10,1.9,11,15,20,33,42
2019-01-04 09:00,2125,19,288.90,2.0,12,15,20,33,42
2019-01-04 10:00,2125,25,424.30,0.8,15,15,19,33,42
2019-01-04 11:00,2125,33,518.20,1.0,18,16,19,32,42
2019-01-04 12:00,2125,39,554.90,1.5,21,18,19,33,42
2019-01-04 13:00,2125,45,526.70,1.7,23,21,19,33,42
2019-01-04 14:00,2125,53,435.50,1.0,25,23,20,32,42
2019-01-04 15:00,2125,55,292.10,4.0,26,24,20,32,42
2019-01-04 16:00,2125,54,122.40,2.5,27,25,21,32,42
2019-01-04 17:00,2125,47,4.43,2.4,27,26,22,32,42
2019-01-04 18:00,2125,40,0.00,4.3,26,27,22,32,42
2019-01-04 19:00,2125,39,0.00,4.3,26,27,23,32,42
2019-01-04 20:00,2125,36,0.00,4.7,24,27,23,32,42
2019-01-04 21:00,2125,31,0.00,6.1,24,27,23,32,42
2019-01-04 22:00,2125,31,0.00,3.5,23,27,24,32,42
2019-01-04 23:00,2125,26,0.00,2.7,22,26,24,32,42
2019-01-05 00:00,2125,21,0.00,3.4,21,25,24,32,42
2019-01-05 01:00,2125,22,0.00,3.3,20,25,24,32,42
2019-01-05 02:00,2125,20,0.00,1.7,19,24,24,32,42
2019-01-05 03:00,2125,20,0.00,2.6,18,23,24,32,42
2019-01-05 04:00,2125,19,0.00,2.1,18,22,24,32,42
2019-01-05 05:00,2125,19,0.01,2.5,17,21,24,32,42
2019-01-05 06:00,2125,18,0.00,2.7,17,20,24,32,42
2019-01-05 07:00,2125,19,2.27,1.9,16,20,23,32,42
2019-01-05 08:00,2125,17,45.45,2.4,16,19,23,32,42
2019-01-05 09:00,2125,22,126.50,0.8,16,19,23,32,42
2019-01-05 10:00,2125,26,161.60,2.4,18,19,22,32,42
2019-01-05 11:00,2125,31,178.50,3.9,20,20,22,32,42
2019-01-05 12:00,2125,37,177.10,3.6,22,22,22,32,42
2019-01-05 13:00,2125,39,120.00,1.5,23,23,22,32,42
2019-01-05 14:00,2125,38,78.70,1.0,24,24,23,32,42
2019-01-05 15:00,2125,38,64.17,0.7,25,25,23,32,42
2019-01-05 16:00,2125,37,34.71,2.5,25,25,23,32,42
2019-01-05 17:00,2125,36,1.60,8.6,26,26,24,32,42
2019-01-05 18:00,2125,40,0.00,12.7,26,26,24,32,42
2019-01-05 19:00,2125,38,0.00,11.9,26,26,24,32,42
2019-01-05 20:00,2125,35,0.00,4.7,26,27,24,32,42
2019-01-05 21:00,2125,35,0.00,6.1,26,27,25,32,42
2019-01-05 22:00,2125,34,0.00,2.0,26,27,25,32,42
2019-01-05 23:00,2125,34,0.00,1.4,26,27,25,32,42
2019-01-06 00:00,2125,32,0.00,2.4,26,27,25,32,42
2019-01-06 01:00,2125,31,0.00,4.3,26,27,25,32,42
2019-01-06 02:00,2125,33,0.00,3.5,26,27,25,32,42
2019-01-06 03:00,2125,33,0.00,6.2,26,27,26,32,42
2019-01-06 04:00,2125,32,0.00,6.0,26,27,26,32,42
2019-01-06 05:00,2125,31,0.00,5.9,26,27,26,32,42
2019-01-06 06:00,2125,31,0.00,2.7,26,27,26,32,42
2019-01-06 07:00,2125,33,3.09,7.9,26,27,26,32,42
2019-01-06 08:00,2125,33,34.75,4.9,26,27,26,32,42
2019-01-06 09:00,2125,34,98.40,8.4,26,27,26,32,42
2019-01-06 10:00,2125,34,192.30,9.8,27,27,26,32,42
2019-01-06 11:00,2125,37,221.00,9.8,27,27,26,32,42
2019-01-06 12:00,2125,36,264.60,10.7,28,28,26,32,42
2019-01-06 13:00,2125,34,388.50,12.1,29,28,26,32,42
2019-01-06 14:00,2125,36,387.70,12.6,29,28,26,32,42
2019-01-06 15:00,2125,37,287.30,9.9,29,29,27,32,42
2019-01-06 16:00,2125,35,48.57,9.2,29,29,27,32,42
2019-01-06 17:00,2125,35,3.07,9.2,30,29,27,32,42
2019-01-06 18:00,2125,34,0.00,8.8,30,29,27,32,41
2019-01-06 19:00,2125,32,0.00,6.5,30,29,27,32,42
2019-01-06 20:00,2125,31,0.00,8.6,29,30,27,32,41
2019-01-06 21:00,2125,30,0.00,6.9,29,30,28,32,41
2019-01-06 22:00,2125,29,0.00,3.5,28,30,28,32,41
2019-01-06 23:00,2125,27,0.00,3.8,28,30,28,32,41
2019-01-07 00:00,2125,32,0.00,4.7,28,30,28,32,41
2019-01-07 01:00,2125,33,0.00,7.7,28,30,28,32,41
2019-01-07 02:00,2125,34,0.00,14.4,28,29,28,32,41
2019-01-07 03:00,2125,33,0.00,12.0,28,29,28,32,41
2019-01-07 04:00,2125,32,0.00,10.5,27,29,28,32,41
2019-01-07 05:00,2125,33,0.00,11.1,27,29,28,32,41
2019-01-07 06:00,2125,33,0.00,10.6,27,29,28,32,41
2019-01-07 07:00,2125,33,0.40,9.1,27,29,28,32,41
2019-01-07 08:00,2125,33,8.19,9.4,27,28,28,32,41
2019-01-07 09:00,2125,35,67.24,9.2,28,29,28,32,41
2019-01-07 10:00,2125,38,111.10,9.9,28,29,28,32,41
2019-01-07 11:00,2125,38,208.40,9.3,28,29,28,32,41
2019-01-07 12:00,2125,41,639.70,13.8,29,29,28,32,41
2019-01-07 13:00,2125,43,373.70,17.0,29,29,28,32,41
2019-01-07 14:00,2125,40,321.40,14.6,30,29,28,32,41
2019-01-07 15:00,2125,42,295.80,10.9,30,30,28,32,41
2019-01-07 16:00,2125,41,119.10,8.3,30,30,28,32,41
2019-01-07 17:00,2125,37,6.18,7.8,30,30,29,32,41
2019-01-07 18:00,2125,36,0.00,7.5,30,30,28,33,41
2019-01-07 19:00,2125,36,0.00,7.7,30,30,29,32,41
2019-01-07 20:00,2125,34,0.00,7.8,30,30,29,33,41
2019-01-07 21:00,2125,33,0.00,6.9,30,31,29,33,41
2019-01-07 22:00,2125,34,0.00,4.4,30,31,29,33,41
2019-01-07 23:00,2125,30,0.00,2.0,30,31,29,33,41
2019-01-08 00:00,2125,27,0.00,2.6,30,31,29,33,41
2019-01-08 01:00,2125,24,0.00,0.9,29,31,29,33,41
2019-01-08 02:00,2125,23,0.00,1.7,28,31,29,33,41
2019-01-08 03:00,2125,22,0.00,1.2,28,30,29,33,41
2019-01-08 04:00,2125,20,0.00,2.2,27,30,29,33,41
2019-01-08 05:00,2125,21,0.00,1.4,26,30,29,33,41
2019-01-08 06:00,2125,18,0.00,3.2,25,29,29,33,41
2019-01-08 07:00,2125,18,3.21,1.4,24,28,29,33,41
2019-01-08 08:00,2125,17,89.00,1.2,24,28,29,33,41
2019-01-08 09:00,2125,24,289.60,1.9,24,27,29,33,41
2019-01-08 10:00,2125,28,429.30,1.5,25,27,29,33,41
2019-01-08 11:00,2125,34,506.60,1.2,27,27,29,33,41
2019-01-08 12:00,2125,37,504.70,2.2,28,28,28,33,41
2019-01-08 13:00,2125,41,481.50,1.8,29,28,28,33,41
2019-01-08 14:00,2125,45,346.50,1.5,29,29,28,33,41
2019-01-08 15:00,2125,45,220.10,2.0,30,29,28,33,41
2019-01-08 16:00,2125,46,75.99,2.3,30,30,29,33,41
2019-01-08 17:00,2125,40,5.50,2.8,30,30,29,33,41
2019-01-08 18:00,2125,38,0.00,2.7,30,30,29,33,41
2019-01-08 19:00,2125,33,0.00,1.9,30,30,29,33,41
2019-01-08 20:00,2125,30,0.00,1.8,30,31,29,33,41
2019-01-08 21:00,2125,31,0.00,2.6,30,31,29,33,41
2019-01-08 22:00,2125,29,0.00,1.7,30,31,29,33,41
2019-01-08 23:00,2125,29,0.00,1.2,30,31,29,33,41
2019-01-09 00:00,2125,28,0.00,1.1,29,31,29,33,41
2019-01-09 01:00,2125,27,0.00,2.9,29,31,29,33,41
2019-01-09 02:00,2125,29,0.00,2.8,28,31,29,33,41
2019-01-09 03:00,2125,28,0.00,0.8,28,31,29,33,41
2019-01-09 04:00,2125,28,0.00,1.2,28,31,29,33,41
2019-01-09 05:00,2125,25,0.00,2.7,27,30,29,33,41
2019-01-09 06:00,2125,24,0.00,2.0,26,30,29,33,41
2019-01-09 07:00,2125,26,1.16,2.4,26,29,29,33,41
2019-01-09 08:00,2125,26,48.81,1.5,26,29,29,33,41
2019-01-09 09:00,2125,28,139.40,1.5,26,29,29,33,41
2019-01-09 10:00,2125,34,221.60,1.6,27,29,29,33,41
2019-01-09 11:00,2125,36,300.40,0.9,28,29,29,33,41
2019-01-09 12:00,2125,39,299.30,1.3,29,29,29,33,41
2019-01-09 13:00,2125,42,281.90,1.4,29,29,29,33,41
2019-01-09 14:00,2125,42,260.40,2.0,30,30,29,33,41
2019-01-09 15:00,2125,46,289.90,2.9,30,30,29,33,41
2019-01-09 16:00,2125,49,153.80,1.0,30,30,29,33,41
2019-01-09 17:00,2125,50,6.92,3.5,30,30,29,33,41
2019-01-09 18:00,2125,34,0.00,4.6,30,30,29,33,41
2019-01-09 19:00,2125,33,0.00,3.7,30,31,29,33,41
2019-01-09 20:00,2125,33,0.00,4.5,31,31,29,33,41
2019-01-09 21:00,2125,30,0.00,1.8,31,31,29,33,41
2019-01-09 22:00,2125,29,0.00,2.1,30,31,29,33,41
2019-01-09 23:00,2125,27,0.00,2.2,30,31,30,33,41
2019-01-10 00:00,2125,25,0.00,1.3,29,31,30,33,41
2019-01-10 01:00,2125,26,0.00,2.9,29,31,30,33,41
2019-01-10 02:00,2125,22,0.00,1.1,28,31,30,33,41
2019-01-10 03:00,2125,23,0.00,2.9,27,31,30,33,41
2019-01-10 04:00,2125,20,0.00,2.3,26,30,30,33,41
2019-01-10 05:00,2125,23,0.00,2.5,26,30,30,33,41
2019-01-10 06:00,2125,21,0.00,2.4,25,29,30,33,41
2019-01-10 07:00,2125,20,1.65,2.7,25,28,30,34,41
2019-01-10 08:00,2125,19,49.06,1.8,24,28,30,33,41
2019-01-10 09:00,2125,22,262.20,1.7,24,27,29,33,41
2019-01-10 10:00,2125,31,453.20,4.9,26,27,29,33,41
2019-01-10 11:00,2125,37,514.50,3.2,27,27,29,33,41
2019-01-10 12:00,2125,43,488.30,2.8,28,28,29,34,41
2019-01-10 13:00,2125,45,531.80,4.2,29,29,29,34,41
2019-01-10 14:00,2125,47,466.40,4.5,30,29,29,33,41
2019-01-10 15:00,2125,51,336.90,8.4,30,30,29,34,41
2019-01-10 16:00,2125,47,155.60,6.8,30,30,29,34,41
2019-01-10 17:00,2125,45,8.06,10.0,30,30,29,34,41
2019-01-10 18:00,2125,40,0.00,9.7,31,30,29,34,40
2019-01-10 19:00,2125,38,0.00,6.2,31,31,29,34,41
2019-01-10 20:00,2125,34,0.00,2.4,31,31,29,34,41
2019-01-10 21:00,2125,34,0.00,2.8,31,31,29,34,41
2019-01-10 22:00,2125,33,0.00,2.8,31,31,29,34,41
2019-01-10 23:00,2125,29,0.00,1.6,31,31,30,34,41
2019-01-11 00:00,2125,29,0.00,1.5,31,31,30,34,41
2019-01-11 01:00,2125,31,0.00,2.7,31,31,30,34,40
2019-01-11 02:00,2125,28,0.00,2.5,31,31,30,34,41
2019-01-11 03:00,2125,27,0.00,2.0,31,31,30,34,41
2019-01-11 04:00,2125,27,0.00,3.8,30,31,30,34,41
2019-01-11 05:00,2125,25,0.00,2.2,30,31,30,34,40
2019-01-11 06:00,2125,23,0.00,2.1,29,31,30,34,40
2019-01-11 07:00,2125,20,1.97,2.2,29,31,30,34,40
2019-01-11 08:00,2125,19,86.00,2.6,28,31,30,34,41
2019-01-11 09:00,2125,26,275.20,1.7,28,31,30,34,40
2019-01-11 10:00,2125,33,429.90,2.3,28,31,30,34,41
2019-01-11 11:00,2125,36,543.00,6.6,29,31,30,34,40
2019-01-11 12:00,2125,39,573.90,9.4,30,31,30,34,41
2019-01-11 13:00,2125,40,545.70,12.5,30,31,30,34,40
2019-01-11 14:00,2125,40,456.40,13.4,30,31,30,34,41
2019-01-11 15:00,2125,41,319.40,12.4,31,31,30,34,40
2019-01-11 16:00,2125,40,146.20,11.1,31,31,30,34,40
2019-01-11 17:00,2125,37,7.26,6.2,31,31,30,34,41
2019-01-11 18:00,2125,31,0.00,5.4,31,31,30,34,40
2019-01-11 19:00,2125,31,0.00,4.4,31,31,30,34,40
2019-01-11 20:00,2125,27,0.00,4.1,31,31,30,34,40
2019-01-11 21:00,2125,24,0.00,3.1,31,31,30,34,40
2019-01-11 22:00,2125,23,0.01,1.8,30,31,30,34,40
2019-01-11 23:00,2125,20,0.00,1.2,29,31,30,34,40
2019-01-12 00:00,2125,20,0.00,3.1,29,31,30,34,40
2019-01-12 01:00,2125,18,0.01,1.8,28,31,30,34,40
2019-01-12 02:00,2125,16,0.01,2.3,27,31,30,34,40
2019-01-12 03:00,2125,16,0.01,3.0,26,31,30,34,40
2019-01-12 04:00,2125,14,0.01,2.9,25,30,30,34,40
2019-01-12 05:00,2125,15,0.01,1.2,24,29,30,34,40
2019-01-12 06:00,2125,13,0.02,1.7,23,29,30,34,40
2019-01-12 07:00,2125,11,2.44,1.8,22,28,30,34,40
2019-01-12 08:00,2125,12,87.80,1.0,22,27,30,34,40
2019-01-12 09:00,2125,21,299.60,1.4,22,26,30,34,40
2019-01-12 10:00,2125,24,438.20,1.6,24,26,30,34,40
2019-01-12 11:00,2125,27,537.70,1.2,26,26,30,34,40
2019-01-12 12:00,2125,33,577.10,1.6,27,27,29,34,40
2019-01-12 13:00,2125,36,552.10,1.5,28,28,29,34,40
2019-01-12 14:00,2125,41,464.80,2.0,29,29,29,34,40
2019-01-12 15:00,2125,41,326.30,4.2,29,29,29,34,40
2019-01-12 16:00,2125,41,153.60,8.9,30,30,29,34,40
2019-01-12 17:00,2125,37,8.53,4.4,30,30,29,34,40
2019-01-12 18:00,2125,32,0.00,4.1,30,30,29,34,40
2019-01-12 19:00,2125,29,0.00,6.1,29,30,29,34,40
2019-01-12 20:00,2125,27,0.00,7.1,29,31,30,34,40
2019-01-12 21:00,2125,24,0.00,3.4,28,31,30,34,40
2019-01-12 22:00,2125,23,0.00,3.8,27,31,30,34,40
2019-01-12 23:00,2125,22,0.00,4.1,26,30,30,34,40
2019-01-13 00:00,2125,19,0.00,4.3,26,30,30,34,40
2019-01-13 01:00,2125,21,0.00,3.9,25,30,30,34,40
2019-01-13 02:00,2125,18,0.00,3.1,25,29,30,34,40
2019-01-13 03:00,2125,20,0.00,0.8,25,29,30,34,40
2019-01-13 04:00,2125,20,0.00,1.1,25,29,30,34,40
2019-01-13 05:00,2125,20,0.00,2.6,25,28,30,34,40
2019-01-13 06:00,2125,19,0.00,3.5,25,28,30,34,40
2019-01-13 07:00,2125,20,0.82,3.4,25,28,29,34,40
2019-01-13 08:00,2125,21,24.76,2.2,25,28,29,34,40
2019-01-13 09:00,2125,22,74.66,0.7,25,28,29,34,40
2019-01-13 10:00,2125,22,141.60,2.6,25,28,29,34,40
2019-01-13 11:00,2125,23,270.40,2.8,26,28,29,34,40
2019-01-13 12:00,2125,25,540.40,2.7,27,28,29,34,40
2019-01-13 13:00,2125,30,539.80,2.0,28,29,29,34,40
2019-01-13 14:00,2125,34,453.60,2.7,29,29,29,34,40
2019-01-13 15:00,2125,38,319.10,11.0,29,29,29,34,40
2019-01-13 16:00,2125,36,156.50,10.9,29,30,29,34,40
2019-01-13 17:00,2125,32,16.24,7.5,30,30,29,34,40
2019-01-13 18:00,2125,29,0.00,11.1,29,30,29,34,40
2019-01-13 19:00,2125,29,0.00,9.6,29,31,29,34,40
2019-01-13 20:00,2125,28,0.00,8.1,29,31,29,34,40
2019-01-13 21:00,2125,27,0.00,7.1,28,31,30,34,40
2019-01-13 22:00,2125,27,0.00,4.9,28,31,30,34,40
2019-01-13 23:00,2125,25,0.00,3.9,28,31,30,34,40
2019-01-14 00:00,2125,24,0.00,4.8,27,31,30,34,40
2019-01-14 01:00,2125,21,0.00,5.6,27,30,30,34,40
2019-01-14 02:00,2125,21,0.00,4.9,26,30,30,34,40
2019-01-14 03:00,2125,22,0.00,2.5,26,30,30,34,40
2019-01-14 04:00,2125,22,0.00,1.8,26,29,30,34,40
2019-01-14 05:00,2125,22,0.00,1.5,26,29,30,34,40
2019-01-14 06:00,2125,22,0.00,1.6,26,29,30,34,40
2019-01-14 07:00,2125,19,2.44,2.9,25,29,30,34,40
2019-01-14 08:00,2125,15,98.40,2.5,24,28,30,34,40
2019-01-14 09:00,2125,22,293.80,1.1,24,28,29,34,40
2019-01-14 10:00,2125,28,460.00,1.2,26,27,29,34,40
2019-01-14 11:00,2125,33,562.60,1.6,27,28,29,34,40
2019-01-14 12:00,2125,36,565.10,1.7,28,28,29,34,40
2019-01-14 13:00,2125,42,515.30,2.0,29,29,29,34,40
2019-01-14 14:00,2125,41,391.60,2.6,30,29,29,34,40
2019-01-14 15:00,2125,41,150.10,1.8,30,30,29,34,40
2019-01-14 16:00,2125,41,71.71,3.8,30,30,29,34,40
2019-01-14 17:00,2125,39,7.45,3.1,30,30,29,34,40
